human_geuvadis_simulated_5sets.graph	cleaned	1	0	0	0	276	10000	0	-1	-1	None	-1	1	5	100	TLMF	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsTLMFCostFunction5100.json	2264.254s	97597	39484	0	4.489075939469205	34.74267255152945	1.8161078147279335	1.6281900122167405	15.2217588655389	10.658440568459278	9.838592847735791	8.939298588044977	17.85267466997838	20.582529722056396	20	20	21741	0	0	0	16591	21791	38382	100377	116968	15.4	43.2	90.1	100.0
human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	0	276	10000	0	-1	-1	None	-1	1	0	None	DPLP	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsDPLPCostFunction0.json	105.173s	0	41222	0	0	0.0	1.896048939791178	1.8171354293320985	None	None	9.95664936199117	9.036053563453361	17.85267466997838	20.582529722056396	0	20	21741	0	0	0	17285	22692	39977	99683	116968	16.0	43.2	98.7	100.0
human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	0	276	10000	0	-1	-1	None	-1	1	1	None	DPLP	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsDPLPCostFunction1.json	102.906s	0	40992	0	0	0.0	1.885469849592935	1.8253910360454266	None	None	9.930693793911008	9.039263238360682	17.85267466997838	20.582529722056396	0	20	21741	0	0	0	17169	22595	39764	99799	116968	15.9	43.2	97.1	100.0
human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	0	276	10000	0	-1	-1	None	-1	1	2	None	DPLP	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsDPLPCostFunction2.json	104.717s	0	41284	0	0	0.0	1.8989006945402696	1.8370582625766592	None	None	9.965652553047185	9.04423600747721	17.85267466997838	20.582529722056396	0	20	21741	0	0	0	17306	22725	40031	99662	116968	16.0	43.2	98.7	100.0
human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	0	276	10000	0	-1	-1	None	-1	1	3	100	DPLP	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsDPLPCostFunction3100.json	1968.674s	0	40307	0	0	0.0	1.8539625592199072	1.7143172624771095	None	None	10.03560175651872	9.171770238713462	17.85267466997838	20.582529722056396	0	20	21741	0	0	0	17162	21984	39146	99806	116968	15.9	43.8	96.2	100.0
human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	0	276	10000	0	-1	-1	None	-1	1	4	100	DPLP	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsDPLPCostFunction4100.json	2585.051s	0	41216	0	0	0.0	1.8957729635251368	1.8286514244067202	None	None	9.980735636645962	9.07870970413309	17.85267466997838	20.582529722056396	0	20	21741	0	0	0	17325	22624	39949	99643	116968	16.1	43.4	98.2	100.0
human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	0	276	10000	0	-1	-1	None	-1	1	5	100	DPLP	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsDPLPCostFunction5100.json	2209.065s	0	39630	0	0	0.0	1.8228232372016007	1.6543204719755076	None	None	9.90885692657078	9.060278248178198	17.85267466997838	20.582529722056396	0	20	21741	0	0	0	16966	21471	38437	100002	116968	15.7	44.1	90.7	100.0
human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	0	276	10000	0	-1	-1	None	-1	1	0	None	DPMF	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsDPMFCostFunction0.json	102.576s	0	41007	0	0	0.0	1.8861597902580378	1.7774945605104877	None	None	9.905625868754115	8.989291634817105	17.85267466997838	20.582529722056396	0	20	21741	0	0	0	16780	23095	39875	100188	116968	15.5	42.1	98.4	100.0
human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	0	276	10000	0	-1	-1	None	-1	1	1	None	DPMF	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsDPMFCostFunction1.json	102.568s	0	40727	0	0	0.0	1.8732808978427855	1.776053128032794	None	None	9.822353721118668	8.918271838582625	17.85267466997838	20.582529722056396	0	20	21741	0	0	0	16655	22958	39613	100313	116968	15.4	42.0	95.5	100.0
human_geuvadis_simulated_5sets.graph	cleaned	0	0	0	0	276	10000	0	-1	-1	None	-1	1	2	None	DPMF	transcripts.gtf	../Results/resultsWP3.csv	human_geuvadis_simulated_5setsDPMFCostFunction2.json	102.671s	0	41024	0	0	0.0	1.886941723011821	1.7895755428348255	None	None	9.885213533541341	8.977737609192811	17.85267466997838	20.582529722056396	0	20	21741	0	0	0	16793	23094	39887	100175	116968	15.6	42.1	97.6	100.0
